Batch,TrainBatteries,Ours_MAE,Ours_MAPE,Ours_RMSE,MLP_MAE,MLP_MAPE,MLP_RMSE,CNN_MAE,CNN_MAPE,CNN_RMSE
1,1,0.14419848322868348,0.16754214018583297,0.1961573639519416,0.46453008651733396,0.5529964357614517,0.6854637952722751,0.6376897737383842,0.7393126338720322,0.8273554950396246
1,2,0.038335501588881014,0.04399424195289612,0.051974523075317594,0.06708383820950985,0.07661744207143784,0.10806534330246007,0.2319599509239197,0.26580620408058164,0.3073624626122094
1,3,0.039937978610396385,0.04502909071743488,0.04547202954993096,0.02590047661215067,0.029931033961474895,0.037192722826042884,0.1843845158815384,0.21169237643480301,0.2419246468537204
1,4,0.043229400366544726,0.049003207683563234,0.04736165547785858,0.028361774142831565,0.03269968647509813,0.04135911737721147,0.1678987428545952,0.19262578934431077,0.22276164311453894
2,1,0.47810402810573577,0.5340130895376205,0.48827762951181175,0.5744550943374633,0.6436704188585282,0.6104712263665212,1.0861240088939668,1.2161748826503753,1.2826710354982513
2,2,0.3654510349035263,0.4009451776742935,0.4188663193395266,0.6879541635513305,0.75002621114254,0.8214326330379466,0.5819900825619697,0.6502705097198487,0.6819027088902817
2,3,0.15525029748678207,0.1714364230632782,0.18147440274862697,0.32911058217287065,0.3568532392382622,0.4687166561229426,0.5394553452730179,0.600079694390297,0.6576763488733539
2,4,0.08885848820209503,0.09771581366658211,0.10011242540622885,0.09592813476920128,0.10578686520457267,0.12627197165435347,0.4118250459432602,0.45896725058555604,0.48489031460581755
3,1,0.07971225306391716,0.0920816645026207,0.1299668248588092,0.34743288308382037,0.39528971165418625,0.4823580154720717,0.49191734790802,0.550597482919693,0.6012443286242362
3,2,0.02375699058175087,0.026639971323311328,0.0327715255265608,0.030443342216312886,0.03456266317516565,0.03651405515903756,0.19798232913017272,0.2214071825146675,0.255797363300779
3,3,0.022588187549263238,0.025273851491510867,0.028515705804594678,0.02120681684464216,0.023875503242015837,0.024401010525063757,0.2056225411593914,0.22931453958153725,0.25961181328104355
3,4,0.029202917218208314,0.03239622004330158,0.03272440236095918,0.02215906549245119,0.024839144572615622,0.024298819681982133,0.10860156714916229,0.1219818651676178,0.14547952358517374
4,1,0.06857414506375789,0.08001406863331795,0.10604962733751408,0.1301131285727024,0.15291145741939544,0.2121792756672943,0.47694145143032074,0.5524093925952911,0.7173081348667987
4,2,0.01915654502809048,0.02184801585972309,0.025372220832478816,0.031306084059178826,0.03602174874395132,0.046916013114546504,0.11026696637272834,0.12607157677412034,0.1607155239103275
4,3,0.02583257546648383,0.02946526203304529,0.03263597586464409,0.020416551176458596,0.02359860120341182,0.030680573721806787,0.08030685298144817,0.09098270051181316,0.10429538225109983
4,4,0.011665727198123931,0.013658712152391672,0.019404168324521597,0.021922694612294437,0.024886544235050677,0.02748716628022081,0.09956789538264274,0.1130334533751011,0.13413944200714184
5,1,0.28303845077753065,0.32331109046936035,0.36484818019781684,0.31925247609615326,0.3737761080265045,0.5868258242449006,0.43731920421123505,0.49516302943229673,0.5920713751511837
5,2,0.11617923751473427,0.12923032119870187,0.13179904737216214,0.02807823345065117,0.03188527524471283,0.03349871868864745,0.30406924337148666,0.34233671575784685,0.4025906723939509
5,3,0.03173704426735639,0.03588236570358276,0.040891411997443936,0.030313291773200034,0.03431314509361982,0.03645604567622525,0.20703158378601075,0.23541377633810043,0.3063069765893306
5,4,0.02933531943708658,0.03319653645157814,0.0364540499576728,0.02572127804160118,0.029347580298781394,0.03482483524639472,0.1842280186712742,0.20934792459011078,0.26968206614639
6,1,0.032577070593833926,0.035648162849247454,0.04127754957094201,0.1551571138203144,0.17048999071121215,0.29996411457317923,0.31853093951940536,0.3490307882428169,0.43900595853125113
6,2,0.020542978029698133,0.02240704046562314,0.025148726789512132,0.023852803092449904,0.026046478003263474,0.028683255311831544,0.19302872121334075,0.21001660823822021,0.26111918818574964
6,3,0.011230586934834719,0.012258036993443966,0.014304193231045464,0.02146131293848157,0.023436984047293663,0.02476713341781369,0.13658679276704788,0.1488404840230942,0.19560462488665892
6,4,0.008919706102460623,0.009736153902485967,0.011943895952894069,0.016962549090385436,0.018517705053091048,0.01856455515644626,0.09583223313093185,0.10443543717265129,0.1327088953719624
